title,mentionsCount,imdbID
Anora,1449,tt28607951
The Brutalist,848,tt8999762
A Complete Unknown,118,tt11563598
Conclave,376,tt20215234
Dune: Part Two,644,tt15239678
Emilia P̩rez,975,tt20221436
I'm Still Here,181,tt14961016
Nickel Boys,76,tt23055660
The Substance,690,tt17526714
Wicked,898,tt1262426
Sing Sing,90,tt28479262
The Apprentice,237,tt8368368
A Real Pain,112,tt21823606
September 5,6,tt28082769
Flow,220,tt4772188
Inside Out 2,63,tt22022452
Memoir of a Snail,25,tt23770030
Wallace & Gromit: Vengeance Most Fowl,27,tt17163970
The Wild Robot,120,tt29623480
The Girl with the Needle,8,tt10236164
The Seed of the Sacred Fig,10,tt32178949
No Other Land,78,tt30953759
Black Box Diaries,6,tt30227076
Porcelain War,4,tt30294282
Soundtrack to a Coup d'Etat,3,tt14452174
Sugarcane,9,tt30319854
The Only Girl in the Orchestra,13,tt29497240
Death by Numbers,2,tt33385063
"I Am Ready, Warden",3,tt31556921
Incident,9,tt27990245
Instruments of a Beating Heart,3,tt32280470
I'm Not a Robot,14,tt19837932
A Lien,4,tt27655666
Anuja,6,tt27654431
The Last Ranger,2,tt15802124
The Man Who Could Not Remain Silent,5,tt20519854
In the Shadow of the Cypress,8,tt28768883
Beautiful Men,4,tt30835281
Magic Candies,3,tt31888603
Wander to Wonder,3,tt28768679
Yuck!,7,tt28356173
The Six Triple Eight,2,tt24458622
Elton John: Never Too Late,34,tt20316978
Nosferatu,313,tt5040012
Maria,10,tt22893404
A Different Man,86,tt21097228
Gladiator II,22,tt9218128
Alien: Romulus,44,tt18412256
Better Man,26,tt14260836
Kingdom of the Planet of the Apes,23,tt11389872
